MWCO [Da],Average surface roughness[nm],Zeta potential [mV],Static contact angle [°],MgSO4 rejection [%],NaCl rejection [%],pH,Temperature [°C],Pressure [bar],PWP [LMH/bar],Monovalent cation feed [mmol/L],Divalent cation feed [mmol/L],Monovalent anion feed [mmol/L],Divalent anion feed [mmol/L],Cret total VFAs
250,11,-20,30,99,50,4.0,20,20,6.2,0.000,0.000,0.000,0.000,1.36
250,11,-20,30,99,50,4.0,20,20,6.6,0.000,0.000,0.000,0.000,1.40
250,11,-45,30,99,50,5.5,20,20,5.5,0.000,0.000,0.000,0.000,2.40
250,11,-45,30,99,50,5.5,20,20,6.3,0.000,0.000,0.000,0.000,2.55
250,11,-52,30,99,50,7.0,20,20,6.4,0.000,0.000,0.000,0.000,3.46
250,11,-52,30,99,50,7.0,20,20,5.7,0.000,0.000,0.000,0.000,3.16
250,11,-52,30,99,50,9.0,20,20,6.4,0.000,0.000,0.000,0.000,3.66
250,11,-52,30,99,50,9.0,20,20,5.9,0.000,0.000,0.000,0.000,3.47
400,13,5,15,96,20,4.0,20,20,9.0,0.000,0.000,0.000,0.000,1.61
400,13,5,15,96,20,4.0,20,20,7.8,0.000,0.000,0.000,0.000,1.44
400,13,-12,15,96,20,5.5,20,20,8.0,0.000,0.000,0.000,0.000,2.45
400,13,-12,15,96,20,5.5,20,20,7.6,0.000,0.000,0.000,0.000,1.90
400,13,-22,15,96,20,7.0,20,20,8.0,0.000,0.000,0.000,0.000,3.41
400,13,-22,15,96,20,7.0,20,20,7.2,0.000,0.000,0.000,0.000,3.07
400,13,-30,15,96,20,9.0,20,20,9.3,0.000,0.000,0.000,0.000,3.73
400,13,-30,15,96,20,9.0,20,20,7.8,0.000,0.000,0.000,0.000,3.22
225,9,-10,40,96,45,4.0,20,20,3.8,0.000,0.000,0.000,0.000,1.56
225,9,-10,40,96,45,4.0,20,20,4.4,0.000,0.000,0.000,0.000,2.12
225,9,-33,40,96,45,5.5,20,20,4.2,0.000,0.000,0.000,0.000,2.52
225,9,-33,40,96,45,5.5,20,20,5.2,0.000,0.000,0.000,0.000,2.85
225,9,-45,40,96,45,7.0,20,20,4.7,0.000,0.000,0.000,0.000,3.33
225,9,-45,40,96,45,7.0,20,20,5.0,0.000,0.000,0.000,0.000,3.39
225,9,-45,40,96,45,9.0,20,20,4.3,0.000,0.000,0.000,0.000,3.65
225,9,-45,40,96,45,9.0,20,20,4.3,0.000,0.000,0.000,0.000,3.04
300,4,-23,30,97,50,4.0,20,20,14.6,0.000,0.000,0.000,0.000,1.35
300,4,-23,30,97,50,4.0,20,20,14.7,0.000,0.000,0.000,0.000,1.48
300,4,-54,30,97,50,5.5,20,20,14.5,0.000,0.000,0.000,0.000,2.96
300,4,-54,30,97,50,5.5,20,20,14.1,0.000,0.000,0.000,0.000,2.34
300,4,-60,30,97,50,7.0,20,20,14.6,0.000,0.000,0.000,0.000,3.94
300,4,-60,30,97,50,7.0,20,20,15.0,0.000,0.000,0.000,0.000,4.16
300,4,-73,30,97,50,9.0,20,20,13.3,0.000,0.000,0.000,0.000,4.35
300,4,-73,30,97,50,9.0,20,20,15.1,0.000,0.000,0.000,0.000,4.44
300,4,-54,30,97,50,5.5,20,10,15.3,32.400,0.000,18.600,0.200,1.76
300,4,-54,30,97,50,5.5,20,10,16.1,32.500,0.000,18.600,0.200,1.80
300,4,-54,30,97,50,5.5,20,20,16.0,32.600,0.000,18.600,0.200,2.28
300,4,-54,30,97,50,5.5,20,20,13.8,32.700,0.000,18.600,0.200,2.24
300,4,-54,30,97,50,5.5,20,30,12.6,32.800,0.000,18.600,0.200,2.48
300,4,-54,30,97,50,5.5,20,30,13.1,32.900,0.000,18.600,0.200,2.61
300,4,-54,30,97,50,5.5,40,10,13.3,32.100,0.000,18.600,0.200,1.51
300,4,-54,30,97,50,5.5,40,10,14.0,32.110,0.000,18.600,0.200,1.54
300,4,-54,30,97,50,5.5,40,20,22.2,32.120,0.000,18.600,0.200,2.29
300,4,-54,30,97,50,5.5,40,20,20.5,32.130,0.000,18.600,0.200,2.12
300,4,-54,30,97,50,5.5,40,30,19.4,32.140,0.000,18.600,0.200,2.39
300,4,-54,30,97,50,5.5,40,30,19.9,32.150,0.000,18.600,0.200,2.40
300,4,-73,30,97,50,9.0,20,10,16.0,22.500,0.000,0.100,18.600,2.35
300,4,-73,30,97,50,9.0,20,10,15.5,22.500,0.000,0.100,18.600,2.19
300,4,-73,30,97,50,9.0,20,20,14.5,22.500,0.000,0.100,18.600,3.09
300,4,-73,30,97,50,9.0,20,20,15.3,22.500,0.000,0.100,18.600,3.29
300,4,-73,30,97,50,9.0,20,30,13.6,22.500,0.000,0.100,18.600,3.37
300,4,-73,30,97,50,9.0,20,30,13.8,22.500,0.000,0.100,18.600,3.66
300,4,-73,30,97,50,9.0,40,10,19.0,22.500,0.000,0.100,18.600,2.33
300,4,-73,30,97,50,9.0,40,10,20.9,22.500,0.000,0.100,18.600,2.42
300,4,-73,30,97,50,9.0,40,20,23.7,22.500,0.000,0.100,18.600,3.13
300,4,-73,30,97,50,9.0,40,20,21.1,22.500,0.000,0.100,18.600,2.96
300,4,-73,30,97,50,9.0,40,30,19.6,22.500,0.000,0.100,18.600,3.27
300,4,-73,30,97,50,9.0,40,30,18.1,22.500,0.000,0.100,18.600,3.20
250,11,-45,30,99,50,5.5,20,20,6.1,32.800,0.000,18.600,0.200,2.56
250,11,-45,30,99,50,5.5,20,20,5.5,32.800,0.000,18.600,0.200,2.45
400,13,-12,15,96,20,5.5,20,20,8.0,32.800,0.000,18.600,0.200,1.89
400,13,-12,15,96,20,5.5,20,20,9.2,32.800,0.000,18.600,0.200,2.27
300,4,-54,30,97,50,5.5,20,20,14.1,127.600,84.000,281.800,0.160,2.65
300,4,-54,30,97,50,5.5,20,20,14.9,127.600,84.000,281.800,0.160,2.76
300,4,-54,30,97,50,5.5,40,20,19.1,127.600,84.000,281.800,0.160,2.66
300,4,-54,30,97,50,5.5,40,20,20.0,127.600,84.000,281.800,0.160,2.70
300,4,-54,30,97,50,5.5,20,20,12.0,151.400,105.000,347.600,0.161,2.72
300,4,-54,30,97,50,5.5,20,20,11.4,151.400,105.000,347.600,0.161,2.62
300,4,-54,30,97,50,5.5,40,20,19.8,151.400,105.000,347.600,0.161,2.64
300,4,-54,30,97,50,5.5,40,20,18.9,151.400,105.000,347.600,0.161,2.61
300,4,-54,30,97,50,5.5,20,20,11.6,174.400,126.000,413.600,0.161,2.69
300,4,-54,30,97,50,5.5,20,20,12.2,174.400,126.000,413.600,0.161,2.80
300,4,-54,30,97,50,5.5,40,20,17.8,174.400,126.000,413.600,0.161,2.64
300,4,-54,30,97,50,5.5,40,20,17.3,174.400,126.000,413.600,0.161,2.61
400,13,-12,15,96,20,5.5,20,20,6.0,174.400,126.000,413.600,0.161,2.20
400,13,-12,15,96,20,5.5,20,20,5.2,174.400,126.000,413.600,0.161,1.83
400,13,-12,15,96,20,5.5,40,20,9.2,174.400,126.000,413.600,0.161,2.13
400,13,-12,15,96,20,5.5,40,20,8.0,174.400,126.000,413.600,0.161,1.77
250,11,-45,30,99,50,5.5,20,20,6.7,174.400,126.000,413.600,0.161,3.71
250,11,-45,30,99,50,5.5,20,20,7.4,174.400,126.000,413.600,0.161,2.88
250,11,-45,30,99,50,5.5,40,20,10.8,174.400,126.000,413.600,0.161,3.19
250,11,-45,30,99,50,5.5,40,20,10.8,174.400,126.000,413.600,0.161,3.19
