feature_set,method,protocol,feature,importance_mean,importance_std,rank_mean,rank_kendall_tau_vs_other_methods
FS2,standardized_coef,C,Zeta potential [mV],0.22062776176756885,0.031263198726009425,2.4,0.6666666666666666
FS2,standardized_coef,C,pH,0.3199939540779162,0.020602038608211404,1.0,0.6666666666666666
FS2,standardized_coef,C,Pressure [bar],0.1638460334823491,0.02224747647956706,3.6,0.6666666666666666
FS2,standardized_coef,C,PWP [LMH/bar],0.19357766115233863,0.00949838332316302,3.0,0.6666666666666666
FS2,standardized_coef,C,Monovalent anion feed [mmol/L],0.10195458951982717,0.019542161960195707,5.0,0.6666666666666666
FS2,permutation,C,Zeta potential [mV],0.2059233887097302,0.0728478464949228,2.4,0.6666666666666666
FS2,permutation,C,pH,0.4349668200171234,0.09566303889382918,1.2,0.6666666666666666
FS2,permutation,C,Pressure [bar],0.13044653949296864,0.02834270333712049,3.4,0.6666666666666666
FS2,permutation,C,PWP [LMH/bar],0.1782500355641379,0.07258421684769203,3.2,0.6666666666666666
FS2,permutation,C,Monovalent anion feed [mmol/L],0.050413216216039856,0.03318846685296951,4.8,0.6666666666666666
FS2,shap,C,Zeta potential [mV],0.19347907170857387,0.024868747862402927,2.4,0.39999999999999997
FS2,shap,C,pH,0.4088115725698387,0.012113493135098687,1.0,0.39999999999999997
FS2,shap,C,Pressure [bar],0.14331961005263244,0.012009612960307932,3.4,0.39999999999999997
FS2,shap,C,PWP [LMH/bar],0.11030582176649947,0.01034713274490182,4.6,0.39999999999999997
FS2,shap,C,Monovalent anion feed [mmol/L],0.14408392390245545,0.02225456032437371,3.6,0.39999999999999997
FS2,gpr_ard,C,Zeta potential [mV],0.17628371606438367,0.07707769848502262,2.6,0.5333333333333333
FS2,gpr_ard,C,pH,0.43053253541548,0.18913821818897275,1.2,0.5333333333333333
FS2,gpr_ard,C,Pressure [bar],0.21974106923618802,0.09396716798524002,2.4,0.5333333333333333
FS2,gpr_ard,C,PWP [LMH/bar],0.118160372848134,0.054145007164639776,3.8,0.5333333333333333
FS2,gpr_ard,C,Monovalent anion feed [mmol/L],0.05528230643581442,0.0414578684459235,5.0,0.5333333333333333
FS6,standardized_coef,C,pH,0.5511995775126243,0.03534935493763141,1.0,0.6666666666666669
FS6,standardized_coef,C,Pressure [bar],0.20722561902013323,0.02668811346998493,2.0,0.6666666666666669
FS6,standardized_coef,C,PWP [LMH/bar],0.10001914990728789,0.012125135960866614,4.0,0.6666666666666669
FS6,standardized_coef,C,Monovalent anion feed [mmol/L],0.14155565355995456,0.029892926871782476,3.0,0.6666666666666669
FS6,permutation,C,pH,0.7828573379648736,0.060343100352857566,1.0,0.6666666666666669
FS6,permutation,C,Pressure [bar],0.1276566841869745,0.03176097690176236,2.2,0.6666666666666669
FS6,permutation,C,PWP [LMH/bar],0.02382857529354431,0.014134835830571792,3.8,0.6666666666666669
FS6,permutation,C,Monovalent anion feed [mmol/L],0.0656574025546076,0.04319505759664222,3.0,0.6666666666666669
FS6,shap,C,pH,0.5103384954040119,0.04750970470514452,1.0,0.2222222222222223
FS6,shap,C,Pressure [bar],0.14264323241725094,0.022418417642249513,3.4,0.2222222222222223
FS6,shap,C,PWP [LMH/bar],0.17239834073075305,0.028891530152043012,2.8,0.2222222222222223
FS6,shap,C,Monovalent anion feed [mmol/L],0.1746199314479841,0.026748840472474292,2.8,0.2222222222222223
FS6,gpr_ard,C,pH,0.5425914211330507,0.1773653476929574,1.0,0.4444444444444446
FS6,gpr_ard,C,Pressure [bar],0.272412451775314,0.11670007227843716,2.2,0.4444444444444446
FS6,gpr_ard,C,PWP [LMH/bar],0.1097571853250505,0.11533360209617649,3.4,0.4444444444444446
FS6,gpr_ard,C,Monovalent anion feed [mmol/L],0.07523894176658488,0.026460280343976274,3.4,0.4444444444444446
FS2_NO_PH,standardized_coef,C,Zeta potential [mV],0.4923592972118855,0.024779626971968387,1.0,0.5555555555555557
FS2_NO_PH,standardized_coef,C,Pressure [bar],0.1791300671216347,0.02194398634875986,3.0,0.5555555555555557
FS2_NO_PH,standardized_coef,C,PWP [LMH/bar],0.29918715251144723,0.021565538511048005,2.0,0.5555555555555557
FS2_NO_PH,standardized_coef,C,Monovalent anion feed [mmol/L],0.02932348315503257,0.015727796678082037,4.0,0.5555555555555557
FS2_NO_PH,permutation,C,Zeta potential [mV],0.6360741746245887,0.13347583324205584,1.0,0.5555555555555557
FS2_NO_PH,permutation,C,Pressure [bar],0.09275137117238232,0.03512525324933338,3.0,0.5555555555555557
FS2_NO_PH,permutation,C,PWP [LMH/bar],0.26927733427775935,0.11687742469319497,2.0,0.5555555555555557
FS2_NO_PH,permutation,C,Monovalent anion feed [mmol/L],0.0018971199252696286,0.0028020636396086053,4.0,0.5555555555555557
FS2_NO_PH,shap,C,Zeta potential [mV],0.43361366511381216,0.02183821514934527,1.0,0.3333333333333334
FS2_NO_PH,shap,C,Pressure [bar],0.163111357372336,0.027328141226673843,3.6,0.3333333333333334
FS2_NO_PH,shap,C,PWP [LMH/bar],0.1991951538085848,0.037309826460090505,2.8,0.3333333333333334
FS2_NO_PH,shap,C,Monovalent anion feed [mmol/L],0.204079823705267,0.02809216081152903,2.6,0.3333333333333334
FS2_NO_PH,gpr_ard,C,Zeta potential [mV],0.868994910142978,0.13232694125750658,1.0,0.3333333333333334
FS2_NO_PH,gpr_ard,C,Pressure [bar],0.10225617451573252,0.13597791729203282,2.2,0.3333333333333334
FS2_NO_PH,gpr_ard,C,PWP [LMH/bar],0.010361767612722377,0.018435160901745986,3.4,0.3333333333333334
FS2_NO_PH,gpr_ard,C,Monovalent anion feed [mmol/L],0.018387147728566967,0.02796447635102371,3.4,0.3333333333333334
