split_id,fold,protocol,condition_overlap,replicate_overlap,membrane_overlap,leakage_warning
0,0,A,15,15,4,True
0,0,B,15,15,4,True
1,0,B,13,13,4,True
2,0,B,11,11,4,True
3,0,B,13,13,4,True
4,0,B,14,14,4,True
5,0,B,15,15,4,True
6,0,B,10,10,4,True
7,0,B,11,11,4,True
8,0,B,13,13,4,True
9,0,B,13,13,4,True
10,0,B,12,12,4,True
11,0,B,13,13,3,True
12,0,B,11,11,4,True
13,0,B,17,17,4,True
14,0,B,11,11,4,True
15,0,B,14,14,4,True
16,0,B,13,13,4,True
17,0,B,14,14,3,True
18,0,B,14,14,4,True
19,0,B,13,13,4,True
20,0,B,13,13,4,True
21,0,B,13,13,4,True
22,0,B,10,10,4,True
23,0,B,10,10,4,True
24,0,B,13,13,4,True
25,0,B,16,16,4,True
26,0,B,13,13,4,True
27,0,B,12,12,4,True
28,0,B,10,10,4,True
29,0,B,16,16,4,True
30,0,B,13,13,4,True
31,0,B,14,14,4,True
32,0,B,15,15,4,True
33,0,B,14,14,4,True
34,0,B,14,14,4,True
35,0,B,11,11,4,True
36,0,B,9,9,3,True
37,0,B,12,12,4,True
38,0,B,9,9,3,True
39,0,B,15,15,4,True
40,0,B,11,11,3,True
41,0,B,14,14,4,True
42,0,B,10,10,4,True
43,0,B,14,14,4,True
44,0,B,12,12,4,True
45,0,B,13,13,4,True
46,0,B,11,11,3,True
47,0,B,12,12,3,True
48,0,B,13,13,4,True
49,0,B,12,12,4,True
50,0,B,11,11,3,True
51,0,B,13,13,4,True
52,0,B,13,13,4,True
53,0,B,11,11,4,True
54,0,B,15,15,4,True
55,0,B,9,9,4,True
56,0,B,14,14,4,True
57,0,B,14,14,4,True
58,0,B,13,13,4,True
59,0,B,14,14,4,True
60,0,B,12,12,4,True
61,0,B,11,11,4,True
62,0,B,13,13,4,True
63,0,B,12,12,4,True
64,0,B,13,13,4,True
65,0,B,14,14,4,True
66,0,B,13,13,4,True
67,0,B,14,14,3,True
68,0,B,9,9,3,True
69,0,B,10,10,4,True
70,0,B,13,13,4,True
71,0,B,10,10,4,True
72,0,B,10,10,4,True
73,0,B,15,15,4,True
74,0,B,11,11,4,True
75,0,B,14,14,4,True
76,0,B,11,11,4,True
77,0,B,14,14,4,True
78,0,B,12,12,4,True
79,0,B,13,13,4,True
80,0,B,15,15,3,True
81,0,B,12,12,4,True
82,0,B,9,9,3,True
83,0,B,10,10,4,True
84,0,B,14,14,4,True
85,0,B,13,13,3,True
86,0,B,13,13,4,True
87,0,B,14,14,4,True
88,0,B,14,14,4,True
89,0,B,13,13,4,True
90,0,B,12,12,4,True
91,0,B,15,15,4,True
92,0,B,15,15,4,True
93,0,B,12,12,4,True
94,0,B,12,12,4,True
95,0,B,10,10,4,True
96,0,B,14,14,4,True
97,0,B,15,15,4,True
98,0,B,12,12,4,True
99,0,B,10,10,4,True
0,0,C,0,0,4,False
0,1,C,0,0,4,False
0,2,C,0,0,4,False
0,3,C,0,0,3,False
0,4,C,0,0,4,False
0,0,D,0,0,0,False
0,1,D,0,0,0,False
0,2,D,0,0,0,False
0,3,D,0,0,0,False
