model,feature_set,held_out_membrane,n,y_min,y_max,RMSE,MAE,R2,bias
dummy,FS1,225,8.0,1.56,3.65,0.683,0.5992,-0.0695,0.1741
dummy,FS1,250,13.0,1.36,3.71,0.7609,0.6297,-0.049,0.1645
dummy,FS1,300,44.0,1.35,4.44,0.707,0.5083,-0.0071,0.0593
dummy,FS1,400,14.0,1.44,3.73,0.7857,0.7309,-0.2735,-0.3641
dummy,FS2,225,8.0,1.56,3.65,0.683,0.5992,-0.0695,0.1741
dummy,FS2,250,13.0,1.36,3.71,0.7609,0.6297,-0.049,0.1645
dummy,FS2,300,44.0,1.35,4.44,0.707,0.5083,-0.0071,0.0593
dummy,FS2,400,14.0,1.44,3.73,0.7857,0.7309,-0.2735,-0.3641
dummy,FS3,225,8.0,1.56,3.65,0.683,0.5992,-0.0695,0.1741
dummy,FS3,250,13.0,1.36,3.71,0.7609,0.6297,-0.049,0.1645
dummy,FS3,300,44.0,1.35,4.44,0.707,0.5083,-0.0071,0.0593
dummy,FS3,400,14.0,1.44,3.73,0.7857,0.7309,-0.2735,-0.3641
dummy,FS5,225,8.0,1.56,3.65,0.683,0.5992,-0.0695,0.1741
dummy,FS5,250,13.0,1.36,3.71,0.7609,0.6297,-0.049,0.1645
dummy,FS5,300,44.0,1.35,4.44,0.707,0.5083,-0.0071,0.0593
dummy,FS5,400,14.0,1.44,3.73,0.7857,0.7309,-0.2735,-0.3641
ridge,FS1,225,8.0,1.56,3.65,1.003,0.9203,-1.3064,0.9203
ridge,FS1,250,13.0,1.36,3.71,1.0228,0.9543,-0.8955,0.9543
ridge,FS1,300,44.0,1.35,4.44,9.6403,6.7886,-186.2404,2.9933
ridge,FS1,400,14.0,1.44,3.73,0.3245,0.2807,0.7828,0.086
ridge,FS2,225,8.0,1.56,3.65,0.3221,0.2878,0.7622,0.0913
ridge,FS2,250,13.0,1.36,3.71,0.4154,0.3226,0.6874,0.0135
ridge,FS2,300,44.0,1.35,4.44,1.367,1.212,-2.7649,-1.1983
ridge,FS2,400,14.0,1.44,3.73,0.514,0.4307,0.455,0.0524
ridge,FS3,225,8.0,1.56,3.65,0.3471,0.2826,0.7237,0.0108
ridge,FS3,250,13.0,1.36,3.71,0.6265,0.4694,0.2888,0.1825
ridge,FS3,300,44.0,1.35,4.44,0.6291,0.4896,0.2027,-0.1438
ridge,FS3,400,14.0,1.44,3.73,0.4523,0.3868,0.578,-0.3038
ridge,FS5,225,8.0,1.56,3.65,0.4171,0.3176,0.6012,-0.2302
ridge,FS5,250,13.0,1.36,3.71,0.6091,0.4564,0.3277,0.0917
ridge,FS5,300,44.0,1.35,4.44,0.6699,0.51,0.096,-0.2167
ridge,FS5,400,14.0,1.44,3.73,0.3622,0.3005,0.7294,-0.1311
catboost,FS1,225,8.0,1.56,3.65,0.4631,0.4059,0.5083,0.357
catboost,FS1,250,13.0,1.36,3.71,0.3985,0.3125,0.7123,-0.0104
catboost,FS1,300,44.0,1.35,4.44,0.6717,0.582,0.0909,-0.4801
catboost,FS1,400,14.0,1.44,3.73,0.6944,0.5418,0.0053,-0.2722
catboost,FS2,225,8.0,1.56,3.65,0.441,0.3824,0.5542,0.3173
catboost,FS2,250,13.0,1.36,3.71,0.4423,0.3221,0.6455,0.1082
catboost,FS2,300,44.0,1.35,4.44,0.8038,0.712,-0.3018,-0.6164
catboost,FS2,400,14.0,1.44,3.73,0.6783,0.491,0.0509,-0.2987
catboost,FS3,225,8.0,1.56,3.65,0.4095,0.3229,0.6156,0.0029
catboost,FS3,250,13.0,1.36,3.71,0.4695,0.3174,0.6006,0.1087
catboost,FS3,300,44.0,1.35,4.44,0.4586,0.3743,0.5764,0.0754
catboost,FS3,400,14.0,1.44,3.73,0.526,0.4421,0.4293,-0.4329
catboost,FS5,225,8.0,1.56,3.65,0.3558,0.2563,0.7098,0.1251
catboost,FS5,250,13.0,1.36,3.71,0.4168,0.3243,0.6852,0.0482
catboost,FS5,300,44.0,1.35,4.44,0.61,0.5067,0.2503,-0.2249
catboost,FS5,400,14.0,1.44,3.73,0.6474,0.5662,0.1356,-0.5347
random_forest,FS1,225,8.0,1.56,3.65,0.3918,0.3228,0.6481,0.2405
random_forest,FS1,250,13.0,1.36,3.71,0.4058,0.2924,0.7017,0.1036
random_forest,FS1,300,44.0,1.35,4.44,0.693,0.5973,0.0325,-0.4593
random_forest,FS1,400,14.0,1.44,3.73,0.469,0.361,0.5463,-0.3029
random_forest,FS2,225,8.0,1.56,3.65,0.393,0.3246,0.646,0.2419
random_forest,FS2,250,13.0,1.36,3.71,0.3878,0.283,0.7276,0.1185
random_forest,FS2,300,44.0,1.35,4.44,0.7619,0.6664,-0.1694,-0.54
random_forest,FS2,400,14.0,1.44,3.73,0.4956,0.3824,0.4933,-0.2875
random_forest,FS3,225,8.0,1.56,3.65,0.4066,0.3192,0.621,0.0057
random_forest,FS3,250,13.0,1.36,3.71,0.4717,0.3183,0.5968,0.114
random_forest,FS3,300,44.0,1.35,4.44,0.5335,0.4089,0.4266,-0.0832
random_forest,FS3,400,14.0,1.44,3.73,0.5273,0.4422,0.4265,-0.4329
random_forest,FS5,225,8.0,1.56,3.65,0.3366,0.2294,0.7403,0.0874
random_forest,FS5,250,13.0,1.36,3.71,0.4133,0.3122,0.6905,0.0643
random_forest,FS5,300,44.0,1.35,4.44,0.6796,0.556,0.0696,-0.3846
random_forest,FS5,400,14.0,1.44,3.73,0.63,0.5515,0.1813,-0.5202
